nct_id,arm_label,oligo_name,arm_role,is_comparator,n_at_risk,tierA_affected,tierB_affected,tierA_event,tierB_event,tierA_terms,max_grade,delivery_route,route_is_cns,indication,oligo_class,backbone_chemistry,modification_pattern,has_sequence,trial_status,n_measurement_rows
NCT01475825,"Regimen B: Mipomersen, 70 mg, Thrice Weekly",mipomersen,exposed,0,102,0,0,0,0,none,0,subcutaneous,0,Hypercholesterolemia; Heterozygous Familial,ASO_gapmer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01475825,"Regimen B: Placebo, Thrice Weekly",placebo_or_sham_control,comparator,1,52,0,0,0,0,none,0,subcutaneous,0,Hypercholesterolemia; Heterozygous Familial,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT01486238,IVMac q4 Arm,pegaptanib,exposed,0,49,0,0,0,0,none,0,intravitreal,0,Diabetic Macular Edema,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01486238,IVMac q6 Arm,pegaptanib,exposed,0,23,0,0,0,0,none,0,intravitreal,0,Diabetic Macular Edema,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01540409,Eteplirsen 30 mg/kg,placebo_or_sham_control,comparator,1,6,0,0,0,0,none,0,intravenous,0,Duchenne Muscular Dystrophy (DMD),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT01540409,Eteplirsen 50 mg/kg,placebo_or_sham_control,comparator,1,6,0,0,0,0,none,0,intravenous,0,Duchenne Muscular Dystrophy (DMD),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT01573572,Intravitreal Injections of Macugen,pegaptanib,exposed,0,131,0,0,0,0,none,0,NOT_REPORTED,0,Age-Related Macular Degeneration; Retinal Vein Occlusion; Diabetic Macular Edema,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01617967,Patisiran 0.010 mg/kg Q4W,patisiran,exposed,0,4,0,0,0,0,none,0,intravenous,0,TTR-mediated Amyloidosis,siRNA,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01617967,Patisiran 0.050 mg/kg Q4W,patisiran,exposed,0,3,0,0,0,0,none,0,intravenous,0,TTR-mediated Amyloidosis,siRNA,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01617967,Patisiran 0.150 mg/kg Q4W,patisiran,exposed,0,3,0,0,0,0,none,0,intravenous,0,TTR-mediated Amyloidosis,siRNA,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
